Partner_Account;;Partner_BLZ;Bank_Name;Partner_Name;Booking_Text;Subject;Booking_Date;Transfer_Type;Currency;Amount;
4711951501;;90090042;Demobank;Ladden Supermarkt;Ec-Karte;Ec 14321243 1801432104243Ab2;Wed May 06 02:00:00 CEST 2015;Direct debit;EUR;-32.92;4711951501;;90090042;Demobank;Girokonto;Dauerauftrag;Sparen;Thu May 07 02:00:00 CEST 2015;Standing order;EUR;-200.00;
4711951501;;90090042;Demobank;Greenpeace;Überweisung;Mitgliedsbeitrag 2012 Nr. 323400943299;Fri May 08 02:00:00 CEST 2015;Transfer;EUR;-250.00;
4711951501;;90090042;Demobank;Apple Computer Intl;Lastschrift;Apple Store Eur 238,00 341434324239499;Sat May 09 02:00:00 CEST 2015;Direct debit;EUR;-238.00;
4711951501;;90090042;Demobank;Webhosting Gmbh;Lastschrift;Kd.Nr. 423897 Re. 4711Edc V.01.08.11 Eur 14,99 ./. Sk 0,00;Sun May 10 02:00:00 CEST 2015;Direct debit;EUR;-14.99;
4711951501;;90090042;Demobank;Luigi Zuckermann Gbr;Ec-Karte;Ec 7233123 0712123388388839299;Mon May 11 02:00:00 CEST 2015;Direct debit;EUR;-10.00;
4711951501;;90090042;Demobank;Amazing Services Europe;Lastschrift;A2432122990100992929929;Tue May 12 02:00:00 CEST 2015;Direct debit;EUR;-19.90;
4711951501;;90090042;Demobank;Fidibus Holzspan Gmbh & Co. Kg;Lastschrift;Ihre Bestellung Vom 01.03. / Re-Nr. 9123093129013290;Wed May 13 02:00:00 CEST 2015;Direct debit;EUR;-167.12;
4711951501;;90090042;Demobank;Vollreinigung Pompetzki;Ec-Karte;Id 477771 Ec Ffd Ec-Zahlung 0Co;Thu May 14 02:00:00 CEST 2015;Direct debit;EUR;-25.20;
4711951501;;90090042;Demobank;Dr. House Solutions Gmbh;Lastschrift;Miete Vertragsnr. 12993;Fri May 15 02:00:00 CEST 2015;Direct debit;EUR;-753.20;
4711951501;;90090042;Demobank;Rogers Shipping, Inc.;Überweisung;Ihre Sendung 0815 Vom 01.03.2012, Vielen Dank;Sat May 16 02:00:00 CEST 2015;Transfer;EUR;-17.90;
4987464748;;10010010;Postbank;Airfreu Ag;Lohn, Gehalt Oder Rente;Gehalt;Sun May 17 02:00:00 CEST 2015;Direct debit;EUR;2300.00;
4711951501;;90090042;Demobank;Tagesgeldkonto;Dauerauftrag;Sparen;Mon May 18 02:00:00 CEST 2015;Sparen;EUR;-300.00;
4711951501;;90090042;Demobank;Aldi Sued;Ec-Karte;Aldi Sagt Danke - Ec 14321243 1801432104243Ab2;Tue May 19 02:00:00 CEST 2015;Lebensmittel;EUR;-95.63;
4711951501;;90090042;Demobank;Lodenfrey;Ec-Karte;Lodenfrey - Danke Fuer Ihren Einkauf;Wed May 20 02:00:00 CEST 2015;Kleidung;EUR;-1200.00;
4711951501;;90090042;Demobank;Aldi Sued;Ec-Karte;Aldi Sagt Danke - Ec 25478963 1801432104243Ab2;Thu May 21 02:00:00 CEST 2015;Lebensmittel;EUR;-35.12;4711951501;;90090042;Demobank;Fidibus Versicherungen Ag;Lastschrift;Beitrag April Kfz;Fri May 22 02:00:00 CEST 2015;Versicherung;EUR;-90.25;
4711951501;;90090042;Demobank;Emils Feinkost Gbr;Ec-Karte;Rechnung 2015-1002398;Sat May 23 02:00:00 CEST 2015;Lebensmittel;EUR;-78.60;
4711951501;;90090042;Demobank;Peter Schneider;Überweisung;Miete Lohmannweg 3;Sun May 24 02:00:00 CEST 2015;Transfer;EUR;900.00;
4711951501;;90090042;Demobank;Aldi Sued;Ec-Karte;Aldi Sagt Danke - Ec 7745125 1801432104243Ab2;Mon May 25 02:00:00 CEST 2015;Lebensmittel;EUR;-135.80;
4711951501;;90090042;Demobank;Hugo Boss;Ec-Karte;Ec 7745125 4352340958739852Fv;Tue May 26 02:00:00 CEST 2015;Kleidung;EUR;-400.00;
4711951501;;90090042;Demobank;Emils Feinkost Gbr;Ec-Karte;Rechnung 2015-10034556;Wed May 27 02:00:00 CEST 2015;Lebensmittel;EUR;-134.12;
4987464748;;10010010;Postbank;Airfreu Ag;Lohn, Gehalt Oder Rente;Gehalt;Thu May 28 02:00:00 CEST 2015;Direct debit;EUR;5250.00;
4711951501;;90090042;Demobank;Aldi Sued;Ec-Karte;Aldi Sagt Danke - Ec 11235779 1801432104243Ab2;Fri May 29 02:00:00 CEST 2015;Lebensmittel;EUR;-91.55;
4711951501;;90090042;Demobank;Getraenke Schroeder;Ec-Karte;Ec 8569741 1801432104243Ab2;Sat May 30 02:00:00 CEST 2015;Lebensmittel;EUR;-54.89;
4711951501;;90090042;Demobank;Tagesgeldkonto;Dauerauftrag;Sparen;Sun May 31 02:00:00 CEST 2015;Sparen;EUR;-300.00;
4711951501;;90090042;Demobank;Aldi Sued;Ec-Karte;Aldi Sagt Danke - Ec 88514785 1801432104243Ab2;Mon Jun 01 02:00:00 CEST 2015;Lebensmittel;EUR;-118.05;
4711951501;;90090042;Demobank;Fidibus Versicherungen Ag;Lastschrift;Beitrag Mai Kfz;Tue Jun 02 02:00:00 CEST 2015;Versicherung;EUR;-90.25;
4711951501;;90090042;Demobank;Peter Schneider;Überweisung;Miete Lohmannweg 3;Wed Jun 03 02:00:00 CEST 2015;Transfer;EUR;900.00;
4711951501;;90090042;Demobank;Emils Feinkost Gbr;Ec-Karte;Rechnung 2015-100388965;Thu Jun 04 02:00:00 CEST 2015;Lebensmittel;EUR;-41.01;
4711951501;;90090042;Demobank;Fidibus Versicherungen Ag;Lastschrift;Beitrag 2015 Haftpflicht;Tue Jun 09 02:00:00 CEST 2015;Versicherung;EUR;-79.25;4711951501;;90090042;Demobank;Fidibus Versicherungen Ag;Lastschrift;Beitrag Juni Kfz;Wed Jun 10 02:00:00 CEST 2015;Versicherung;EUR;-90.25;
4711951501;;90090042;Demobank;Peter Schneider;Überweisung;Miete Lohmannweg 3;Thu Jun 11 02:00:00 CEST 2015;Transfer;EUR;900.00;
4987464748;;10010010;Postbank;Airfreu Ag;Lohn, Gehalt Oder Rente;Gehalt;Fri Jun 12 02:00:00 CEST 2015;Direct debit;EUR;5250.00;
